"Population and dwelling counts, for population centres, 2011 and 2006 censuses"
"Geographic code","Geographic name","Population centre size group","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Population, 2006","2006 adjusted population flag","Population, % change","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011"
"0001","Acton (Ont.)","Small",F,9704,10172,T,-4.6,3645,3599,16.4017,591.6460,206,70
"0002","Acton Vale (Que.)","Small",F,5293,5236,F,1.1,2404,2318,5.4619,969.0767,323,69
"0003","Airdrie (Alta.)","Medium",F,42564,28927,T,47.1,15638,15024,33.0981,1285.9953,66,8
"0005","Alençon (Que.)","Small",F,1595,1462,F,9.1,704,667,2.9888,533.6590,735,178
"0006","Alexandria (Ont.)","Small",F,3209,3287,F,-2.4,1521,1464,4.1540,772.5084,448,140
"0007","Alfred (Ont.)","Small",F,1350,1340,F,0.7,646,615,2.2573,598.0596,810,238
"0008","Alliston (Ont.)","Small",F,15379,12523,F,22.8,6298,6099,16.9020,909.8923,134,47
"0009","Alma (Que.)","Small",F,26016,25394,F,2.4,11760,11398,41.0982,633.0204,89,20
"0010","Almonte (Ont.)","Small",F,4752,4538,F,4.7,2029,1991,4.4107,1077.3800,344,109
"0011","Altona (Man.)","Small",F,4123,3746,F,10.1,1638,1608,9.4588,435.8904,380,13
"0012","Amherst (N.S.)","Small",F,9811,9598,T,2.2,4855,4446,12.1875,805.0051,205,8
"0014","Amherstburg (Ont.)","Small",F,13330,13499,T,-1.3,5310,5151,15.5744,855.8917,151,51
"0015","Amos (Que.)","Small",F,9400,9499,T,-1.0,4488,4276,7.9074,1188.7599,211,44
"0016","Amqui (Que.)","Small",F,4557,4519,F,0.8,2138,2090,5.2197,873.0387,352,78
"0018","Angus - Borden CFB-BFC (Ont.)","Small",F,8603,8615,F,-0.1,3372,3033,38.9070,221.1170,221,74
"0019","Antigonish (N.S.)","Small",F,5084,4712,T,7.9,2879,2268,6.0094,846.0079,330,13
"0020","Armstrong (B.C.)","Small",F,4830,4258,F,13.4,2076,1994,5.1977,929.2572,338,47
"0021","Arnprior (Ont.)","Small",F,10099,9076,F,11.3,4542,4402,18.0738,558.7646,197,65
"0022","Arthur (Ont.)","Small",F,2421,2327,F,4.0,958,931,4.2943,563.7706,554,170
"0023","Asbestos (Que.)","Small",F,7312,7017,F,4.2,3554,3329,30.0055,243.6887,248,51
"0024","Ashcroft (B.C.)","Small",F,1628,1664,F,-2.2,803,758,7.6337,213.2649,727,83
"0025","Assiniboia (Sask.)","Small",F,2418,2305,F,4.9,1241,1147,3.7795,639.7672,555,25
"0028","Atikokan (Ont.)","Small",F,2730,3230,F,-15.5,1429,1243,14.8861,183.3926,502,156
"0030","Aylmer (Ont.)","Small",F,7249,7163,F,1.2,2917,2813,6.2252,1164.4606,250,83
"0031","Ayr (Ont.)","Small",F,4380,4158,T,5.3,1511,1491,6.5008,673.7632,367,116
"0036","Baie-Comeau (Que.)","Small",F,9917,10178,F,-2.6,4547,4330,11.2964,877.8903,203,42
"0037","Baie-Saint-Paul (Que.)","Small",F,4535,4563,T,-0.6,2173,2043,5.9946,756.5142,355,79
"0038","Golden (Ont.)","Small",F,1220,1392,F,-12.4,575,473,1.2849,949.4902,854,252
"0040","Banff (Alta.)","Small",F,7584,6700,F,13.2,2850,2565,4.8771,1555.0225,238,33
"0041","Barraute (Que.)","Small",F,1097,1133,F,-3.2,501,496,1.2607,870.1515,904,234
"0042","Barrhead (Alta.)","Small",F,4432,4209,F,5.3,1932,1805,8.0992,547.2145,363,50
"0043","Barrie (Ont.)","Large urban",F,166634,157501,F,5.8,65158,61342,171.9680,968.9826,19,9
"0044","Barry's Bay (Ont.)","Small",F,1262,1265,T,-0.2,584,533,2.5678,491.4713,845,245
"0045","Bathurst (N.B.)","Small",F,17887,18154,F,-1.5,8827,8027,69.9953,255.5457,122,4
"0046","Bay Roberts (N.L.)","Small",F,10638,10180,F,4.5,4494,4127,48.0399,221.4409,189,4
"0047","Beauceville (Que.)","Small",F,3700,3795,F,-2.5,1790,1691,6.6667,554.9972,409,91
"0050","Beaupré (Que.)","Small",F,5922,5560,T,6.5,2813,2561,15.0132,394.4529,303,64
"0051","Beausejour (Man.)","Small",F,3126,2823,F,10.7,1470,1402,5.3487,584.4411,455,17
"0052","Beaverlodge (Alta.)","Small",F,2365,2264,F,4.5,981,892,5.5774,424.0327,563,76
"0053","Beaverton (Ont.)","Small",F,2915,2970,F,-1.9,1386,1247,5.9661,488.5939,482,148
"0054","Gentilly (Que.)","Small",F,1997,2027,F,-1.5,1037,986,4.5371,440.1490,638,152
"0056","Bedford (Que.)","Small",F,2684,2612,F,2.8,1276,1210,4.1979,639.3673,509,114
"0058","Beeton (Ont.)","Small",F,3806,3887,F,-2.1,1339,1328,2.1312,1785.8483,399,127
"0061","Belleville (Ont.)","Medium",F,63985,64310,T,-0.5,29285,27811,79.2025,807.8659,50,20
"0063","Beloeil (Que.)","Medium",F,50796,46574,T,9.1,20647,20125,47.5772,1067.6543,56,12
"0066","Bernierville (Que.)","Small",F,1042,1101,F,-5.4,538,479,1.9817,525.8112,926,243
"0067","Berthierville (Que.)","Small",F,4501,4391,F,2.5,2159,2075,7.2535,620.5280,358,80
"0069","Berwick (N.S.)","Small",F,2504,2524,F,-0.8,1052,1027,6.8022,368.1162,538,22
"0071","Biggar (Sask.)","Small",F,2146,2003,F,7.1,1026,970,3.9704,540.4997,610,31
"0072","Bishop's Falls (N.L.)","Small",F,3262,3326,F,-1.9,1401,1347,7.8310,416.5496,445,16
"0074","Blairmore (Alta.)","Small",F,1723,1830,F,-5.8,956,781,3.8953,442.3279,697,91
"0075","Blenheim (Ont.)","Small",F,4563,4549,F,0.3,2005,1912,4.4506,1025.2550,351,112
"0076","Blind River (Ont.)","Small",F,2540,2659,F,-4.5,1295,1168,13.0447,194.7151,532,164
"0077","Bobcaygeon (Ont.)","Small",F,3533,3313,F,6.6,1876,1696,5.4752,645.2732,423,134
"0078","Boissevain (Man.)","Small",F,1572,1497,F,5.0,702,679,2.7694,567.6320,741,32
"0079","Saint-Martin (Que.)","Small",F,1556,1644,F,-5.4,704,682,3.2967,471.9871,747,186
"0080","Bolton (Ont.)","Small",F,25954,26232,T,-1.1,8186,8094,11.1496,2327.7965,90,34
"0081","Bonaventure (Que.)","Small",F,1564,1453,F,7.6,716,694,3.4883,448.3559,745,184
"0082","Bonavista (N.L.)","Small",F,3319,3535,F,-6.1,1562,1404,4.3652,760.3317,440,15
"0083","Bonnyville (Alta.)","Small",F,6216,5832,F,6.6,2482,2324,14.1036,440.7385,291,42
"0084","Botwood (N.L.)","Small",F,3008,3052,F,-1.4,1326,1257,15.0469,199.9083,468,18
"0086","Bow Island (Alta.)","Small",F,2025,1790,F,13.1,670,641,5.9199,342.0666,635,82
"0087","Bowmanville - Newcastle (Ont.)","Medium",F,43555,38265,T,13.8,16418,15888,33.1416,1314.2093,63,24
"0088","Bracebridge (Ont.)","Small",F,8845,8847,F,0.0,4027,3763,12.1304,729.1598,219,73
"0089","Bradford (Ont.)","Small",F,22378,19212,T,16.5,7888,7538,12.1536,1841.2651,104,38
"0091","Brandon (Man.)","Medium",F,46061,41511,F,11.0,20235,19332,76.8871,599.0732,60,2
"0092","Brantford (Ont.)","Medium",F,93650,90192,F,3.8,39397,37500,73.4420,1275.1559,33,15
"0094","Bridgenorth - Chemong Park Area (Ont.)","Small",F,2167,2275,F,-4.7,988,862,7.0168,308.8302,607,184
"0095","Bridgetown (N.S.)","Small",F,1014,1082,F,-6.3,515,475,3.6540,277.5041,935,37
"0096","Bridgewater (N.S.)","Small",F,8310,8021,F,3.6,4027,3826,13.7919,602.5276,225,10
"0097","Brighton (Ont.)","Small",F,5935,5338,F,11.2,2853,2697,12.4735,475.8087,300,99
"0098","Brockville (Ont.)","Small",F,23354,23620,F,-1.1,11120,10678,27.2420,857.2792,101,37
"0101","Brooks (Alta.)","Small",F,13818,12579,T,9.8,5555,5082,18.2328,757.8649,146,17
"0105","Bouctouche (N.B.)","Small",F,1956,1911,F,2.4,884,828,6.5371,299.2152,651,22
"0107","Burgeo (N.L.)","Small",F,1464,1602,F,-8.6,682,626,1.9792,739.6928,772,27
"0110","Burns Lake (B.C.)","Small",F,2390,2778,F,-14.0,944,860,7.3487,325.2276,557,72
"0111","Cabano (Que.)","Small",F,2344,2322,F,0.9,1112,1058,4.1361,566.7174,572,132
"0112","Cache Creek (B.C.)","Small",F,1040,1037,F,0.3,512,473,10.2496,101.4674,929,100
"0114","Caledonia (Ont.)","Small",F,9999,10150,T,-1.5,3574,3522,6.8594,1457.7077,199,67
"0115","Calgary (Alta.)","Large urban",F,1095404,988079,F,10.9,445238,422876,704.5092,1554.8470,4,1
"0119","Campbell River (B.C.)","Medium",F,34514,33121,T,4.2,15649,14740,39.2396,879.5706,77,13
"0121","Campbellford (Ont.)","Small",F,3493,3183,T,9.7,1625,1525,3.7834,923.2436,427,136
"0122","Campbellton (N.B./Que.)","Small",F,11902,11676,F,1.9,5606,5200,25.4066,468.4610,171,
"130122","Campbellton (New Brunswick part / partie du Nouveau-Brunswick)","Small",F,9130,9236,F,-1.1,4463,4091,20.0456,455.4615,,8
"240122","Campbellton (partie du Québec / Quebec part)","Small",F,2772,2440,F,13.6,1143,1109,5.3610,517.0677,,111
"0123","Camrose (Alta.)","Small",F,17226,15605,T,10.4,7920,7438,26.2277,656.7865,125,13
"0125","Canmore (Alta.)","Small",F,10539,10884,F,-3.2,6270,4347,12.7084,829.2940,190,25
"0126","Cannington (Ont.)","Small",F,1916,2023,F,-5.3,753,702,2.5732,744.5982,655,202
"0127","Canora (Sask.)","Small",F,2219,2013,F,10.2,1166,1046,7.3058,303.7313,595,28
"0129","Cap-aux-Meules (Que.)","Small",F,1635,1685,F,-3.0,692,677,3.5095,465.8783,721,173
"0130","Cap-Chat (Que.)","Small",F,1316,1371,F,-4.0,610,559,2.7156,484.6075,819,206
"0133","Capreol (Ont.)","Small",F,3276,3399,F,-3.6,1418,1381,6.0925,537.7103,444,139
"0134","Caraquet (N.B.)","Small",F,4276,4338,F,-1.4,1986,1890,16.8841,253.2560,370,14
"0135","Carberry (Man.)","Small",F,1669,1502,F,11.1,753,717,4.7871,348.6453,710,29
"0136","Carbonear (N.L.)","Small",F,7337,7199,F,1.9,3216,2964,25.5586,287.0658,246,7
"0137","Cardinal (Ont.)","Small",F,1690,1785,F,-5.3,808,760,2.0380,829.2444,703,212
"0138","Cardston (Alta.)","Small",F,3580,3452,F,3.7,1322,1208,8.6445,414.1362,418,58
"0140","Carleton Place (Ont.)","Small",F,10013,9658,F,3.7,4361,4077,9.1511,1094.1854,198,66
"0141","Carlyle (Sask.)","Small",F,1441,1257,F,14.6,596,558,3.1944,451.1019,777,46
"0142","Carman (Man.)","Small",F,3027,2781,T,8.8,1415,1367,4.3098,702.3528,466,19
"0143","Carnduff (Sask.)","Small",F,1126,1012,F,11.3,488,452,2.2643,497.2839,893,57
"0144","Casselman (Ont.)","Small",F,3642,3280,T,11.0,1500,1438,5.1977,700.6945,411,130
"0146","Castlegar (B.C.)","Small",F,8992,8402,T,7.0,4040,3858,21.8491,411.5501,216,31
"0149","Causapscal (Que.)","Small",F,1901,1867,F,1.8,948,891,10.7982,176.0479,659,160
"0150","Cayuga (Ont.)","Small",F,1622,1575,F,3.0,706,671,1.9828,818.0351,733,219
"0154","Chandler (Que.)","Small",F,2454,2564,T,-4.3,1129,1107,3.6384,674.4723,548,127
"0155","Channel-Port aux Basques (N.L.)","Small",F,3794,4113,F,-7.8,1763,1684,5.7086,664.6113,401,14
"0156","Chapais (Que.)","Small",F,1521,1553,F,-2.1,681,632,4.5668,333.0560,758,189
"0157","Chapleau (Ont.)","Small",F,2116,2354,F,-10.1,1046,906,14.2707,148.2758,616,186
"0159","Charlottetown (P.E.I.)","Medium",F,42602,38801,F,9.8,19339,18095,57.8944,735.8570,65,1
"0161","Chase (B.C.)","Small",F,2495,2409,F,3.6,1236,1128,3.7662,662.4715,541,70
"0162","Château-Richer (Que.)","Small",F,1589,1252,T,26.9,736,696,3.3566,473.3957,737,179
"0167","Chatham (Ont.)","Medium",F,44074,45783,F,-3.7,19585,18588,32.2531,1366.5043,62,23
"0169","Chemainus (B.C.)","Small",F,3035,2937,F,3.3,1554,1479,4.0192,755.1254,464,63
"0170","Chesley (Ont.)","Small",F,2015,2010,F,0.2,926,856,2.9759,677.1061,636,196
"0171","Chester (N.S.)","Small",F,1529,1496,F,2.2,908,709,3.8979,392.2625,755,31
"0172","Chesterville (Ont.)","Small",F,1514,1528,F,-0.9,673,650,2.2932,660.2128,761,228
"0174","Chetwynd (B.C.)","Small",F,2255,2218,F,1.7,949,881,10.5795,213.1481,588,75
"0175","Chibougamau (Que.)","Small",F,6948,7014,F,-0.9,3191,2989,5.2835,1315.0374,263,55
"0176","Chicoutimi - Jonquière (Que.)","Large urban",F,106666,106184,T,0.5,49872,48215,131.9027,808.6718,29,6
"0177","Chilliwack (B.C.)","Medium",F,66382,58593,T,13.3,28189,26768,80.6319,823.2722,45,8
"0181","Chute-aux-Outardes (Que.)","Small",F,1644,1853,F,-11.3,717,686,7.3263,224.3970,718,171
"0182","Clarenville-Shoal Harbour (N.L.)","Small",F,4406,3873,F,13.8,1937,1778,10.4070,423.3689,364,11
"0183","Claresholm (Alta.)","Small",F,3758,3700,F,1.6,1756,1635,9.0764,414.0408,404,54
"0186","Clermont (Que.)","Small",F,3007,2898,F,3.8,1391,1350,7.6395,393.6121,469,100
"0187","Clinton (Ont.)","Small",F,3114,3082,F,1.0,1443,1383,4.2151,738.7725,459,144
"0188","Coaldale (Alta.)","Small",F,7493,6177,F,21.3,2844,2751,7.9478,942.7766,241,34
"0189","Coaticook (Que.)","Small",F,7123,6840,F,4.1,3245,3172,12.9280,550.9746,258,53
"0190","Cobourg (Ont.)","Small",F,18519,18210,F,1.7,8541,8047,22.3720,827.7758,120,43
"0191","Cochrane (Alta.)","Small",F,16841,13491,T,24.8,6521,6241,19.5484,861.5027,127,14
"0192","Cochrane (Ont.)","Small",F,3976,4072,F,-2.4,1765,1698,7.7960,510.0051,387,122
"0193","Colborne (Ont.)","Small",F,2068,1992,F,3.8,926,866,5.2654,392.7527,626,191
"0197","Coleraine (Que.)","Small",F,1137,1283,F,-11.4,524,503,5.0109,226.9053,885,230
"0198","Collingwood (Ont.)","Small",F,17233,15964,T,7.9,9589,7531,18.8464,914.3921,124,44
"0201","Contrecoeur (Que.)","Small",F,4604,4032,F,14.2,2212,2007,5.8473,787.3719,350,77
"0202","Cookshire (Que.)","Small",F,1567,1483,F,5.7,690,651,10.1962,153.6847,744,183
"0204","Corner Brook (N.L.)","Small",F,19759,19976,F,-1.1,8590,8257,22.2284,888.9079,114,2
"0205","Cornwall (Ont.)","Medium",F,49243,48792,F,0.9,22437,21544,77.0306,639.2654,57,22
"0207","Courtenay (B.C.)","Medium",F,40809,37435,T,9.0,19043,18208,55.6910,732.7755,69,11
"0208","Cowansville (Que.)","Small",F,11615,11376,F,2.1,5429,5178,29.4229,394.7605,177,36
"0209","Crabtree (Que.)","Small",F,2757,2352,F,17.2,1190,1136,2.1280,1295.5827,499,112
"0210","Cranbrook (B.C.)","Small",F,19364,18373,T,5.4,8531,8161,32.0611,603.9718,116,18
"0212","Creston (B.C.)","Small",F,5379,4944,F,8.8,2721,2504,8.7220,616.7163,320,44
"0213","Cumberland (B.C.)","Small",F,3381,2737,F,23.5,1446,1396,7.4612,453.1443,437,59
"0214","Dalhousie (N.B.)","Small",F,2750,2862,T,-3.9,1440,1293,3.2642,842.4729,501,17
"0215","Dauphin (Man.)","Small",F,8251,7906,F,4.4,4005,3783,12.6521,652.1447,226,8
"0217","Dawson Creek (B.C.)","Small",F,11583,10994,F,5.4,5406,4859,24.3658,475.3794,178,28
"0218","Deep River (Ont.)","Small",F,4086,4091,F,-0.1,1894,1811,7.7102,529.9473,383,121
"0219","Deer Lake (N.L.)","Small",F,3977,3971,F,0.2,1703,1610,7.9875,497.9030,386,13
"0220","Dégelis (Que.)","Small",F,1817,1896,F,-4.2,904,853,2.0636,880.5001,681,165
"0221","Delhi (Ont.)","Small",F,4172,4103,T,1.7,1885,1802,2.9686,1405.3763,377,119
"0223","Desbiens (Que.)","Small",F,1053,1074,F,-2.0,502,466,10.4128,101.1255,925,242
"0225","Deseronto (Ont.)","Small",F,2259,1824,F,23.8,924,878,3.3953,665.3315,587,179
"0226","Devon (Alta.)","Small",F,6510,6261,T,4.0,2471,2387,11.7167,555.6172,280,40
"0227","Didsbury (Alta.)","Small",F,4876,4275,F,14.1,1952,1891,5.4671,891.8805,335,47
"0229","Digby (N.S.)","Small",F,2152,2097,F,2.6,1117,1025,3.1392,685.5250,609,24
"0230","Disraeli (Que.)","Small",F,2502,2564,F,-2.4,1280,1188,6.9106,362.0525,539,123
"0231","Dolbeau (Que.)","Small",F,12195,12340,F,-1.2,5538,5390,15.9823,763.0316,166,34
"0233","Donnacona (Que.)","Small",F,7342,6391,F,14.9,3453,3341,9.4798,774.4889,245,50
"0237","Drayton Valley (Alta.)","Small",F,7049,6893,F,2.3,2899,2740,12.2731,574.3455,260,35
"0238","Dresden (Ont.)","Small",F,2446,2496,F,-2.0,1045,1008,3.3081,739.3972,551,169
"0239","Drumheller (Alta.)","Small",F,6723,6544,F,2.7,3041,2853,11.0808,606.7251,273,39
"0240","Drummondville (Que.)","Medium",F,66314,62199,T,6.6,31438,30085,62.4080,1062.5881,46,9
"0241","Dryden (Ont.)","Small",F,6267,6613,F,-5.2,2853,2696,15.4408,405.8728,288,95
"0243","Duncan (B.C.)","Small",F,24479,23157,T,5.7,10830,10262,35.1538,696.3401,95,15
"0244","Dundalk (Ont.)","Small",F,1988,1971,F,0.9,815,760,2.0615,964.3463,640,198
"0246","Dunnville (Ont.)","Small",F,5789,5729,F,1.0,2652,2502,7.6547,756.2674,307,102
"0247","Dunville (N.L.)","Small",F,2853,3133,F,-8.9,1391,1242,10.1801,280.2526,489,20
"0248","Durham (Ont.)","Small",F,2823,2768,F,2.0,1244,1196,4.3680,646.2912,493,152
"0250","East Angus (Que.)","Small",F,3751,3362,F,11.6,1580,1556,7.9207,473.5693,405,89
"0251","East Broughton (Que.)","Small",F,2229,2351,F,-5.2,1007,973,8.7310,255.2972,593,140
"0252","Edmonton (Alta.)","Large urban",F,960015,862544,F,11.3,404796,379072,855.3241,1122.3991,5,2
"0253","Edmundston (N.B.)","Small",F,13660,14110,F,-3.2,6850,6343,38.0685,358.8269,148,5
"0254","Edson (Alta.)","Small",F,8475,8098,F,4.7,3701,3386,29.5825,286.4869,222,29
"0256","Eganville (Ont.)","Small",F,1226,1240,F,-1.1,603,561,3.8437,318.9635,852,250
"0257","Elliot Lake (Ont.)","Small",F,11185,11420,F,-2.1,6050,5604,12.1196,922.8852,181,59
"0258","Elmira (Ont.)","Small",F,9931,8872,T,11.9,3713,3679,9.4589,1049.9107,202,69
"0259","Elmvale (Ont.)","Small",F,2369,2183,F,8.5,960,934,2.5101,943.7871,561,171
"0260","Embrun (Ont.)","Small",F,6380,5655,F,12.8,2267,2227,9.0526,704.7699,285,94
"0262","Enderby (B.C.)","Small",F,2932,2843,F,3.1,1454,1347,4.2933,682.9246,477,65
"0264","Englehart (Ont.)","Small",F,1554,1509,T,3.0,746,706,3.0879,503.2546,749,223
"0265","Erin (Ont.)","Small",F,2674,2831,F,-5.5,1031,986,4.7699,560.5988,511,159
"0266","Les Escoumins (Que.)","Small",F,1634,1598,F,2.3,732,708,3.1350,521.2121,722,174
"0267","Espanola (Ont.)","Small",F,4199,4334,F,-3.1,1910,1819,5.7470,730.6421,375,118
"0268","Essex (Ont.)","Small",F,7127,7105,F,0.3,3004,2915,5.5325,1288.2061,257,87
"0269","Esterhazy (Sask.)","Small",F,2472,2336,F,5.8,1202,1104,4.7456,520.9036,545,24
"0270","Estevan (Sask.)","Small",F,11054,10084,F,9.6,4789,4501,18.8452,586.5685,185,8
"0272","Exeter (Ont.)","Small",F,4785,4657,F,2.7,2168,2053,5.3319,897.4287,342,107
"0274","Fairview (Alta.)","Small",F,3162,3297,F,-4.1,1322,1266,11.3027,279.7562,453,63
"0276","Farnham (Que.)","Small",F,6442,6132,T,5.1,3075,2866,8.8546,727.5315,281,58
"0277","Fenelon Falls (Ont.)","Small",F,2040,2159,T,-5.5,1084,956,2.9218,698.1997,633,194
"0278","Fergus (Ont.)","Small",F,19126,18349,T,4.2,7508,7360,15.0793,1268.3613,117,42
"0279","Ferme-Neuve (Que.)","Small",F,1897,1936,F,-2.0,867,827,3.0961,612.7063,661,161
"0280","Fernie (B.C.)","Small",F,4811,4621,F,4.1,3033,2149,15.6744,306.9336,341,48
"0282","Flin Flon (Man./Sask.)","Small",F,5592,5836,F,-4.2,2739,2436,16.2536,344.0469,315,
"460282","Flin Flon (Manitoba part / partie de Manitoba)","Small",F,5363,5594,F,-4.1,2629,2340,13.8787,386.4195,,11
"470282","Flin Flon (Saskatchewan part / partie de la Saskatchewan)","Small",F,229,242,F,-5.4,110,96,2.3749,96.4251,,63
"0283","Foam Lake (Sask.)","Small",F,1148,1123,F,2.2,599,548,6.0602,189.4327,879,55
"0285","Forest (Ont.)","Small",F,2876,2899,F,-0.8,1274,1232,5.2648,546.2696,484,149
"0286","Forestville (Que.)","Small",F,2957,3145,F,-6.0,1426,1367,7.6064,388.7516,473,102
"0290","Fort Frances (Ont.)","Small",F,7834,7972,F,-1.7,3714,3450,11.8512,661.0301,233,76
"0291","Fort Macleod (Alta.)","Small",F,3021,2982,F,1.3,1317,1214,9.0462,333.9524,467,65
"0292","Fort McMurray (Alta.)","Medium",F,61374,47705,F,28.7,26401,21729,59.8915,1024.7531,52,6
"0293","Fort Nelson (B.C.)","Small",F,3902,4514,F,-13.6,1804,1585,13.7656,283.4602,393,52
"0294","Fort Qu'Appelle (Sask.)","Small",F,2044,1919,T,6.5,930,891,5.6478,361.9108,630,32
"0297","Fort St. James (B.C.)","Small",F,2278,1876,T,21.4,990,879,10.4890,217.1799,583,74
"0298","Fort St. John (B.C.)","Small",F,18699,17697,T,5.7,8270,7511,23.1141,808.9867,119,19
"0299","Fort-Coulonge (Que.)","Small",F,2483,2419,F,2.6,1005,982,5.9246,419.1000,543,125
"0300","Fortune (N.L.)","Small",F,1055,1045,T,1.0,522,477,0.5419,1946.8537,924,30
"0301","Fox Creek (Alta.)","Small",F,1969,2278,F,-13.6,980,773,11.5437,170.5692,647,84
"0302","Saint-Apollinaire (Que.)","Small",F,2000,2193,T,-8.8,881,852,1.4267,1401.8364,637,151
"0303","Frankford (Ont.)","Small",F,2507,2299,F,9.0,1080,1041,2.6419,948.9383,536,166
"0304","Fraser Lake (B.C.)","Small",F,1167,1113,F,4.9,543,482,4.0672,286.9296,870,93
"0305","Fredericton (N.B.)","Medium",F,61522,57255,T,7.5,28632,26660,141.7562,433.9987,51,3
"0306","Iqaluit (Nvt.)","Small",F,6254,4796,T,30.4,2715,2216,5.8674,1065.8895,289,1
"0307","Fruitvale (B.C.)","Small",F,3628,3627,F,0.0,1557,1489,6.0081,603.8515,414,54
"0310","Gananoque (Ont.)","Small",F,5194,5285,F,-1.7,2493,2346,7.0112,740.8147,326,104
"0311","Gander (N.L.)","Small",F,10234,9410,F,8.8,4424,4211,7.0553,1450.5407,195,5
"0314","Georgetown (Ont.)","Medium",F,40150,36755,T,9.2,13805,13649,23.1213,1736.4941,70,26
"0315","Geraldton (Ont.)","Small",F,1893,2012,F,-5.9,979,849,3.9104,484.0937,663,204
"0316","Gibsons (B.C.)","Small",F,8089,8023,T,0.8,3961,3562,11.2729,717.5616,230,33
"0317","Gimli (Man.)","Small",F,1916,1896,T,1.1,1253,929,2.2292,859.5012,655,24
"0318","Glace Bay (N.S.)","Small",F,19076,19968,F,-4.5,8515,8032,35.1523,542.6672,118,5
"0321","Glencoe (Ont.)","Small",F,2086,2095,F,-0.4,934,901,2.9682,702.7828,622,189
"0324","Goderich (Ont.)","Small",F,7521,7563,F,-0.6,3533,3375,7.9104,950.7737,240,79
"0325","Gold River (B.C.)","Small",F,1267,1362,F,-7.0,790,560,11.0457,114.7053,841,92
"0326","Golden (B.C.)","Small",F,3701,3811,F,-2.9,1722,1539,11.4105,324.3504,408,53
"0328","Granby (Que.)","Medium",F,60281,56777,T,6.2,27999,27119,90.5332,665.8441,53,11
"0329","Grand Bank (N.L.)","Small",F,2355,2518,F,-6.5,1143,1058,2.2990,1024.3584,568,22
"0330","Grand Centre (Alta.)","Small",F,13714,11855,F,15.7,5582,5109,29.2209,469.3216,147,18
"0331","Grand Falls / Grand-Sault (N.B.)","Small",F,5706,5650,F,1.0,2697,2571,18.0640,315.8769,310,11
"0332","Grand Falls-Windsor (N.L.)","Small",F,12714,12471,F,1.9,5731,5334,24.1302,526.8916,160,3
"0333","Grand Forks (B.C.)","Small",F,4274,4237,T,0.9,2049,1961,10.7533,397.4594,371,50
"0335","Grande Cache (Alta.)","Small",F,4103,3690,F,11.2,1680,1499,4.9924,821.8492,381,52
"0336","Grande Prairie (Alta.)","Medium",F,54913,47066,T,16.7,22933,21137,42.3007,1298.1582,54,7
"0337","Grande-Rivière (Que.)","Small",F,1218,1239,F,-1.7,596,584,2.8164,432.4670,856,220
"0338","Gravelbourg (Sask.)","Small",F,1116,1089,F,2.5,516,486,3.2259,345.9500,895,58
